"","date","max_temperature_f","mean_temperature_f","min_temperature_f","max_visibility_miles","mean_visibility_miles","min_visibility_miles","max_wind_speed_mph","mean_wind_speed_mph","max_gust_speed_mph","precipitation_inches","cloud_cover","events","zip_code","city"
"67",2014-01-17,62,52,42,10,9,6,7,1,NA,0,"0","No event","94063","Redwood City"
"68",2014-01-18,62,52,41,10,8,6,7,0,NA,0,"0","No event","94063","Redwood City"
"69",2014-01-19,66,52,39,10,9,6,7,0,NA,0,"0","No event","94063","Redwood City"
"70",2014-01-20,64,52,41,10,8,6,6,1,NA,0,"0","No event","94063","Redwood City"
"71",2014-01-21,66,54,41,10,10,10,5,0,NA,0,"1","No event","94063","Redwood City"
"72",2014-01-22,64,52,41,10,10,10,7,1,NA,0,"0","No event","94063","Redwood City"
"73",2014-01-23,66,54,42,10,10,7,7,1,NA,0,"1","No event","94063","Redwood City"
"74",2014-01-24,60,50,41,8,6,4,4,0,NA,0,"3","No event","94063","Redwood City"
"75",2014-01-25,66,56,46,10,8,5,7,1,NA,0,"2","No event","94063","Redwood City"
"76",2014-01-26,68,58,48,10,10,10,6,4,NA,0,"4","No event","94063","Redwood City"
"77",2014-01-27,57,52,48,10,9,6,7,4,NA,0,"4","No event","94063","Redwood City"
"78",2014-01-28,66,58,50,10,10,8,13,2,NA,0,"7","No event","94063","Redwood City"
"79",2014-01-29,64,60,55,10,8,2,14,2,NA,0,"8","No event","94063","Redwood City"
"80",2014-01-30,59,55,51,10,10,10,14,5,20,0,"7","Rain","94063","Redwood City"
"81",2014-01-31,59,52,46,10,10,10,15,6,20,0,"2","No event","94063","Redwood City"
"82",2014-02-01,57,48,39,10,10,10,10,4,NA,0,"0","No event","94063","Redwood City"
"83",2014-02-02,50,47,44,10,9,3,13,4,23,0,"5","Rain","94063","Redwood City"
"84",2014-02-03,53,47,41,10,10,10,16,4,21,0,"4","No event","94063","Redwood City"
"85",2014-02-04,53,46,39,10,10,10,10,3,NA,0,"2","No event","94063","Redwood City"
"86",2014-02-05,55,47,39,10,10,6,10,3,16,0,"5","Rain","94063","Redwood City"
"87",2014-02-06,53,50,46,10,7,2,16,6,18,0.06,"8","Rain","94063","Redwood City"
"88",2014-02-07,57,54,50,10,9,3,22,5,29,0,"6","Rain","94063","Redwood City"
"89",2014-02-08,60,56,53,10,8,2,17,11,24,0,"8","Rain","94063","Redwood City"
"90",2014-02-09,60,58,57,10,6,2,14,9,17,0,"8","Rain","94063","Redwood City"
"91",2014-02-10,59,54,50,10,9,4,10,4,NA,0,"5","No event","94063","Redwood City"
"92",2014-02-11,57,52,46,10,8,0,10,2,NA,0,"4","Fog","94063","Redwood City"
"93",2014-02-12,57,52,46,10,8,2,8,2,NA,0,"4","No event","94063","Redwood City"
"94",2014-02-13,68,59,50,10,6,0,9,3,NA,0,"4","Fog","94063","Redwood City"
"95",2014-02-14,62,56,50,10,9,2,9,2,NA,0,"5","No event","94063","Redwood City"
